회차,날짜,시청률
1회,2023.9.22,1.92%
2회,2023.9.29,1.76%
3회,2023.10.13,1.74%
4회,2023.10.20,1.86%
5회,2023.10.27,1.89%
6회,2023.11.3,1.46%
7회,2023.11.10,1.28%
8회,2023.11.17,1.58%
9회,2023.11.24,1.76%
10회,2023.12.1,1.63%
11회,2023.12.8,2.00%
12회,2023.12.15,1.82%
13회,2023.12.22,1.61%
14회,2023.12.29,1.72%
15회,2024.1.5,2.01%
16회,2024.1.12,2.12%
17회,2024.1.19,1.65%
18회,2024.1.26,1.91%
19회,2024.2.2,1.88%
20회,2024.2.9,1.32%
21회,2024.2.16,1.63%
22회,2024.2.23,1.66%
23회,2024.3.1,1.62%
24회,2024.3.8,1.85%
25회,2024.3.15,1.70%
26회,2024.3.22,2.31%
27회,2024.3.29,1.31%
28회,2024.4.5,1.92%
29회,2024.4.12,1.56%
30회,2024.4.19,1.36%
31회,2024.4.26,1.94%
32회,2024.5.3,1.71%
33회,2024.5.10,1.69%
34회,2024.5.17,1.65%
35회,2024.5.24,1.33%
36회,2024.5.31,1.57%
37회,2024.6.7,1.54%
38회,2024.6.14,1.66%
39회,2024.6.21,1.35%
40회,2024.6.28,1.15%
41회,2024.7.5,1.22%
42회,2024.7.12,1.12%
43회,2024.7.19,1.31%
44회,2024.7.26,1.36%
45회,2024.8.9,1.70%
46회,2024.8.16,1.24%
47회,2024.8.23,1.18%
48회,2024.8.30,1.36%